location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
KL City,978458.0,562.0,1,1,0,Serviced Residence,Duplex,Partly Furnished
Mont Kiara,1300000.0,1200.0,3,2,0,Condominium,Standard,Partly Furnished
Wangsa Maju,1613300.0,2336.0,4,4,3,Condominium,Corner,Partly Furnished
KL Eco City,1200000.0,969.0,2,2,1,Condominium,Standard,Partly Furnished
Cheras,363000.0,950.0,3,2,1,Serviced Residence,Intermediate,Partly Furnished
Segambut,1147000.0,2500.0,6,5,5,Condominium,Standard,Partly Furnished
Mont Kiara,645000.0,462.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KLCC,1900000.0,915.0,3,2,1,Condominium,Standard,Partly Furnished
KLCC,1450000.0,1050.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
Desa ParkCity,1150000.0,1580.0,3,2,2,Condominium,Corner,Partly Furnished
Bukit Bintang,900000.0,1063.0,3,3,1,Serviced Residence,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),938000.0,1523.0,3,3,2,Condominium,Intermediate,Partly Furnished
Mont Kiara,1800000.0,2038.0,4,4,2,Condominium,Standard,Partly Furnished
Bukit Bintang,2981550.0,1509.0,2,3,0,Serviced Residence,Corner,Partly Furnished
Mont Kiara,1450000.0,1496.0,4,4,2,Condominium,Standard,Partly Furnished
Mont Kiara,1200000.0,1200.0,3,2,2,Condominium,Standard,Partly Furnished
Mont Kiara,1850000.0,2038.0,4,4,2,Condominium,Standard,Partly Furnished
Bukit Jalil,980000.0,1513.0,5,3,2,Condominium,Standard,Partly Furnished
KLCC,1377000.0,871.0,2,2,1,Condominium,Intermediate,Partly Furnished
KLCC,1621000.0,1031.0,3,2,2,Condominium,Intermediate,Partly Furnished
KLCC,1245000.0,925.0,1,1,2,Serviced Residence,Intermediate,Partly Furnished
KLCC,1830000.0,1426.0,4,4,2,Serviced Residence,Standard,Fully Furnished
KLCC,1198800.0,636.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KLCC,1250000.0,925.0,1,1,1,Serviced Residence,Corner,Fully Furnished
KLCC,1830000.0,1076.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),350000.0,950.0,3,2,0,Serviced Residence,Standard,Partly Furnished
Mont Kiara,1690000.0,2020.0,4,4,2,Condominium,Intermediate,Partly Furnished
KL Sentral,1380000.0,1500.0,3,2,1,Condominium,Standard,Fully Furnished
KLCC,1900000.0,1076.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,600000.0,633.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,2270000.0,1087.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Setapak,418000.0,900.0,2,2,2,Serviced Residence,Corner,Partly Furnished
Cheras,318000.0,970.0,2,2,1,Condominium,Intermediate,Fully Furnished
KL Eco City,780000.0,657.0,1,1,1,Condominium,Standard,Partly Furnished
Kuchai Lama,700000.0,1496.0,4,3,2,Condominium,Intermediate,Partly Furnished
Bukit Jalil,1068000.0,1772.0,5,3,4,Condominium,Corner,Partly Furnished
KLCC,1420000.0,976.0,2,2,1,Condominium,Intermediate,Partly Furnished
Mont Kiara,1780000.0,2073.0,4,4,2,Condominium,Corner,Partly Furnished
KLCC,1050000.0,751.0,1,1,1,Condominium,Intermediate,Fully Furnished
Bukit Jalil,630000.0,1404.0,3,0,2,Condominium,Corner,Partly Furnished
Cheras,530000.0,1394.0,4,2,1,Condominium,Intermediate,Unfurnished
KLCC,1637500.0,976.0,2,2,1,Condominium,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),669000.0,1094.0,4,2,2,Serviced Residence,Intermediate,Unfurnished
Jalan Klang Lama (Old Klang Road),1438000.0,2378.0,4,4,4,Condominium,Intermediate,Unfurnished
Jalan Klang Lama (Old Klang Road),1280000.0,2128.0,5,4,3,Condominium,Intermediate,Fully Furnished
KLCC,1000000.0,1313.0,4,3,2,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),945000.0,1523.0,3,3,2,Condominium,Intermediate,Partly Furnished
KLCC,1550000.0,711.0,2,2,1,Serviced Residence,Standard,Partly Furnished
